,类别,类型,题目,难度,选项,答案
0,Python基础,单选题,下列哪个语句在Python中是非法的？,1,"['x = y = z = 1', 'x = (y = z + 1)', 'x, y = y, x', 'x  +=  y']",B
1,Python基础,单选题,关于Python内存管理，下列说法错误的是,1,"['变量不必事先声明', '变量无须先创建和赋值而直接使用', '变量无须指定类型', '可以使用del释放资源']",B
2,Python基础,单选题,下面哪个不是Python合法的标识符,1,"['int32', '40XL', 'self', '__name__']",B
3,Python基础,单选题,下列哪种说法是错误的,1,"['除字典类型外，所有标准对象均可以用于布尔测试', '空字符串的布尔值是False', '空列表对象的布尔值是False', '值为0的任何数字对象的布尔值是False']",A
4,Python基础,单选题,Python不支持的数据类型有,1,"['char', 'int', 'float', 'list']",A
5,Python基础,单选题,关于Python中的复数，下列说法错误的是,1,"['表示复数的语法是real + image j', '实部和虚部都是浮点数', '虚部必须后缀j，且必须是小写', '方法conjugate返回复数的共轭复数']",C
6,Python基础,单选题,关于字符串下列说法错误的是,1,"['字符应该视为长度为1的字符串', '字符串以\\0标志字符串的结束', '既可以用单引号，也可以用双引号创建字符串', '在三引号字符串中可以包含换行回车等特殊字符']",B
7,Python基础,单选题,以下不能创建一个字典的语句是,1,"['dict1 = {}', 'dict2 = { 3 : 5 }', 'dict3 = {[1,2,3]: “uestc”}', 'dict4 = {(1,2,3): “uestc”}']",C
8,Python基础,单选题,下列Python语句正确的是,1,"['min = x  if  x < y  else  y', 'max = x > y ? x : y', 'if (x > y) print x', 'while True : pass']",D
9,Python基础,单选题,计算机中信息处理和信息储存用,1,"['二进制代码', '十进制代码', '十六进制代码', 'ASCII代码']",A
10,Python基础,单选题,python源程序执行的方式,1,"['编译执行', '解析执行', '直接执行', '边编译边执行']",B
11,Python基础,单选题,Python语言语句块的标记是,1,"['分号', '逗号', '缩进', '/']",C
12,Python基础,单选题,以下是字符转换成字节的方法是,1,"['decode()', 'encode()', 'upper()', 'rstrip()']",B
13,Python基础,多选题,以下是正确的字符串(请忽略中英文符号),1,"['‘abc”ab”', '‘abc”ab’', '“abc”ab”', '“abc\\'ab”']","B,D"
14,Python基础,单选题,"ab + ""c"" * 2 结果是",1,"['abc2', 'abcabc', 'abcc', 'ababcc']",C
15,Python基础,单选题,以下会出现错误的是,1,"['‘北京’.encode()', '‘北京’.decode()', '‘北京’.encode().decode()', '以上都不会错误']",B
16,Python基础,单选题,"如下：

 str1 = ""Runoob example....wow!!!""

str2 = ""exam"";

Print(str1.find(str2, 5)) 打印的结果是",1,"['6', '7', '8', '-1']",B
17,Python基础,多选题,"下面对count（），index(), find()方法描述错误的是",1,"['count() 方法用于统计字符串里某个字符出现的次数', 'find() 方法检测字符串中是否包含子字符串 str  如果包含子字符串返回开始的索引值，否则会报一个异常', 'index() 方法检测字符串中是否包含子字符串 str， 如果str不在 返回-1', '以上都错误']","B,C"
18,Python基础,单选题,"有下面的程序段

if k<=10 and k > 0:
    if k >5:
        if k>8:
            x=0
        else:
            x=1
    else:
        if k>2:
            x=3
        else:
    x=4

其中k取那组值时  x =3",1,"['3,4,5', '3,4', '5,6,7', '4,5']",A
19,Python基础,单选题,以下不是python中的关键字,1,"['raise', 'with', 'import', 'final']",D
20,Python基础,单选题,"调用以下函数返回的值
def myfun():
    pass",1,"['0', '出错不能运行', '空字符串', 'None']",D
21,Python基础,单选题,"函数如下：

def showNnumber(numbers):
    for n in numbers:
    print(n)

 下面那些在调用函数时会报错",1,"['showNumer([2,4,5])', 'showNnumber(‘abcesf’)', 'showNnumber(3.4)', 'showNumber((12,4,5))']",C
22,Python基础,单选题,"函数如下

def chanageInt(number2):
    number2 = number2 + 1
    print(""changeInt: number2= "",number2)

#调用

number1 = 2
chanageInt(number1)
print(""number:"",number1)

打印结果哪项是正确的",1,"['changeInt: number2= 3 number: 3', 'changeInt: number2= 3 number: 2', 'number: 2 changeInt: number2= 2', 'number: 2 changeInt: number2= 3']",B
23,Python基础,单选题,关于python类 说法错误的是,1,"['类的实例方法必须创建对象后才可以调用', '类的实例方法必须创建对象前才可以调用', '类的类方法可以用对象和类名来调用', '类的静态属性可以用类名和对象来调用']",B
24,Python基础,单选题,以下哪项python能正常启动,1,"['拼写错误', '错误表达式', '缩进错误', '手动抛出异常']",D
25,Python基础,单选题,有关异常说法正确的是,1,"['程序中抛出异常终止程序', '程序中抛出异常不一定终止程序', '拼写错误会导致程序终止', '缩进错误会导致程序终止']",B
26,Python基础,单选题,"对以下程序描述错误的是

try:

    #语句块1

except  IndexError as i:

    # 语句块2",1,"['改程序对异常处理了，因此一定不会终止程序', '改程序对异常处理了，不一定不会因异常引发终止', '语句块1，如果抛出IndexError 异常，不会因为异常终止程序', '语句块2 不一定会执行']",A
